feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,0.40922058,0.8007421,-0.06190393,-1.0536058,-2.006234,0.122956395
attn_0_0_outputs,1,0.057851285,0.73812854,-0.3506164,-1.4989661,-2.40145,2.6257763
attn_0_0_outputs,2,0.66955423,0.6284851,-0.46120834,-1.7712413,-2.371612,0.680516
attn_0_0_outputs,3,0.07746348,0.6085181,-0.45878467,-1.5810547,-2.254362,0.49290755
attn_0_0_outputs,4,0.2549472,0.7790933,-0.26255205,-1.4175962,-1.7720546,3.631612
attn_0_0_outputs,5,0.6994303,0.6480359,-0.3493021,-1.6544384,-2.4927475,1.1520216
attn_0_0_outputs,<pad>,0.05244817,1.0966164,0.07229044,0.25574654,-0.78194946,-0.17782606
attn_0_0_outputs,<s>,1.4590727,1.130431,-0.25654048,-1.921131,-4.4861,-5.9460483
attn_0_0_outputs,_,-0.92685616,0.017858865,-0.074525066,0.9796066,-0.65740913,-2.2015102
attn_0_0_outputs,_,-0.75421953,0.6166465,-0.42726168,2.44274,-1.2098552,-1.2253933
attn_0_0_outputs,_,0.44314334,-0.29528657,-0.69334656,0.352033,0.19053671,0.2760332
attn_0_0_outputs,_,-0.20436746,-0.5746864,0.854613,-0.15177158,0.5358999,0.54817736
attn_0_0_outputs,_,-0.8320495,-0.5705611,0.56656045,0.4895337,0.5295654,-0.36128545
attn_0_0_outputs,_,0.21834354,-0.7501569,-0.44294685,0.04372076,0.081184335,0.1597509
attn_0_0_outputs,_,-0.28206784,-0.25052667,0.37444174,-0.56466573,-0.11421066,0.15869834
attn_0_0_outputs,_,-0.1190676,-0.9570929,0.4895949,0.38780874,0.07339727,0.6167181
attn_0_0_outputs,_,-0.25803912,-0.64734834,-0.09269104,0.80648553,-0.37055245,-0.23290385
attn_0_0_outputs,_,0.43466592,0.008836877,0.053149592,0.37795377,-0.048808143,-0.7533619
attn_0_0_outputs,_,-0.23504396,-0.051100068,0.36927122,0.2064564,0.18639891,0.87917584
attn_0_0_outputs,_,0.21570943,0.06692421,-0.23806228,-0.23675884,-0.17645454,-0.12124068
attn_0_1_outputs,0,1.2700173,0.80283505,0.13613811,-1.4129736,-2.523979,-1.2679819
attn_0_1_outputs,1,0.6170908,0.33305812,-0.20518455,-1.5973046,-2.5105982,-1.5638505
attn_0_1_outputs,2,0.6207736,0.17441136,-0.49131238,-2.083794,-3.0592625,-0.4541322
attn_0_1_outputs,3,0.6893089,0.7108987,-0.08599554,-1.937979,-2.7511556,-0.48958588
attn_0_1_outputs,4,0.80220336,0.3496468,-0.15840875,-1.4772516,-2.0409153,-0.42495942
attn_0_1_outputs,5,0.6289776,0.72128874,-0.044179965,-1.5216223,-2.0276399,-1.0061889
attn_0_1_outputs,<pad>,0.42332876,0.2257355,-0.40417695,0.032458697,-0.10344751,0.15688206
attn_0_1_outputs,<s>,0.545417,0.027910838,-0.47508845,-1.9572395,-1.9673054,2.7687006
attn_0_1_outputs,_,-0.30222735,0.039618805,0.36047184,0.96744484,-0.9152047,-1.3666093
attn_0_1_outputs,_,-0.4166219,0.5323459,-0.83641577,1.8614788,-1.7952557,-1.8882127
attn_0_1_outputs,_,-0.387783,0.10681423,-0.27322513,-0.6215835,0.49047133,0.6716992
attn_0_1_outputs,_,-0.42166412,0.28591076,0.47079375,0.1303253,0.94542384,0.3618083
attn_0_1_outputs,_,0.034144323,-0.9268528,-0.117749885,0.31168172,-0.03831451,0.55127484
attn_0_1_outputs,_,-0.05793394,-0.53632385,-0.5517927,-1.1152619,0.37044933,0.48486263
attn_0_1_outputs,_,0.44913164,0.4902622,-0.44088638,-1.4740719,-0.21995011,0.6076387
attn_0_1_outputs,_,0.33817232,-0.043640774,-0.043992776,0.1785066,0.088041395,-0.093010396
attn_0_1_outputs,_,0.8641446,-0.34215984,0.941832,-0.2970315,0.62047315,0.39956793
attn_0_1_outputs,_,-0.20670108,-0.78651905,-0.5768074,-0.18526497,-0.9057356,-0.30583936
attn_0_1_outputs,_,0.02622147,-0.27911076,0.37014404,0.189432,-0.52835035,0.113844484
attn_0_1_outputs,_,0.25540563,0.73186266,-0.61246145,0.5106906,0.485792,0.44055888
attn_0_2_outputs,0,3.0018635,-0.6408884,-1.574556,-3.183975,-4.7000575,-7.6973944
attn_0_2_outputs,1,-0.1421143,1.5170772,-0.21409957,-0.53099847,-3.4539948,3.290626
attn_0_2_outputs,10,-0.29662687,-0.062173106,-0.05631114,0.74166733,0.15407252,0.21375155
attn_0_2_outputs,11,0.8446357,-0.3123057,-0.07036437,0.12527007,0.007874815,-0.13664809
attn_0_2_outputs,12,-0.294731,0.25563905,-0.33978173,0.02045837,0.49527842,0.24267605
attn_0_2_outputs,13,-0.21429119,-0.16577195,0.08465512,-0.32391238,-0.11867134,0.3012023
attn_0_2_outputs,14,-0.17909509,0.62746733,-0.09664648,0.4410437,-0.045358524,-0.21252616
attn_0_2_outputs,15,-0.75652224,0.10596564,-0.505917,0.24582174,0.1085576,0.18584877
attn_0_2_outputs,16,-0.21925725,0.24863894,-0.30285063,0.11714785,-0.20892623,0.2576207
attn_0_2_outputs,17,0.5706177,-0.7364947,-0.56365955,-0.034499187,0.75836694,0.23012567
attn_0_2_outputs,18,-0.23810229,-0.3764083,0.01421794,0.34493202,0.069271214,0.28519294
attn_0_2_outputs,19,-0.16455835,0.17032638,0.2064734,0.57497305,0.6681652,-0.17246297
attn_0_2_outputs,2,-0.35275805,1.2834462,-0.43122068,-0.7171515,-4.024213,1.5087516
attn_0_2_outputs,3,-0.24607317,1.4985703,-0.41431916,-0.9056494,-4.1727962,-0.5714298
attn_0_2_outputs,4,-0.17364165,1.535438,-0.22315319,-0.51444256,-3.6153896,1.963654
attn_0_2_outputs,5,-2.3804452,1.4328853,2.001879,-1.6280144,1.3820182,0.3381862
attn_0_2_outputs,6,-0.07659451,1.4563743,0.23712692,-1.2264042,-2.0630455,3.7966228
attn_0_2_outputs,7,-1.947753,1.4400843,1.6730931,-0.26294133,2.2475169,-6.20827
attn_0_2_outputs,8,-0.4536545,1.0706952,-0.09312532,-1.1138544,-1.6879537,-5.122228
attn_0_2_outputs,9,-0.46131012,0.7303225,-0.42370862,-1.7784278,-2.4608598,-3.932945
attn_0_3_outputs,0,0.34193784,-0.046484835,-0.958325,-2.2231584,-3.4236052,-0.6350841
attn_0_3_outputs,1,0.8893845,0.8216842,0.014566133,-1.0780001,-2.619809,1.4455556
attn_0_3_outputs,2,0.5279485,0.3623555,-0.7128372,-1.7672275,-2.927408,1.1781337
attn_0_3_outputs,3,-0.31440252,-0.29243317,-0.4439783,-1.213607,-1.4210845,1.2789203
attn_0_3_outputs,4,0.9761136,0.23965004,-0.10768807,-0.7440088,-0.71722525,3.1911302
attn_0_3_outputs,5,1.0863703,0.80326396,-0.09491895,-1.3549507,-2.3287108,1.1082765
attn_0_3_outputs,<pad>,0.7501492,0.670705,0.06322685,-0.24442892,0.03956237,0.0639339
attn_0_3_outputs,<s>,1.8574219,1.1994342,-0.15711698,-1.9449071,-4.230535,-7.044067
attn_0_3_outputs,_,-0.56399024,0.04678665,0.20193028,1.3565462,-0.18058327,-1.4904766
attn_0_3_outputs,_,-0.75720197,0.078136586,-0.94893676,1.6050357,-2.1788225,-1.1203166
attn_0_3_outputs,_,0.8591457,-0.02387652,-0.50678486,0.104395516,0.90637505,0.651161
attn_0_3_outputs,_,-0.4176294,0.14273515,0.63337904,0.61955786,0.11767697,0.053386457
attn_0_3_outputs,_,0.1974539,0.19179894,0.8844287,0.29724053,0.6482823,0.11145974
attn_0_3_outputs,_,0.7718608,-0.23142281,-0.65515596,-0.19663312,0.19887403,-0.20995148
attn_0_3_outputs,_,-0.18947606,0.13548443,0.3778871,-1.0967591,0.09456482,0.6131624
attn_0_3_outputs,_,-0.4497711,-0.0631457,0.40983048,0.24112293,1.0037134,0.7798764
attn_0_3_outputs,_,-0.5658865,0.11155681,0.36527032,0.23166381,0.87011456,0.48242664
attn_0_3_outputs,_,0.7270406,0.42360356,0.40849137,-0.3013443,-0.18525252,-0.26073205
attn_0_3_outputs,_,-0.1293314,-0.48419333,0.14222293,-0.16505927,0.5946244,0.24388112
