epoch,epoch_loss,split,loss,acc,sample_fn
0,0.46885943,train,0.26606378,0.9020611111111111,gumbel_soft
0,0.46885943,val,0.99403197,0.6459444444444444,gumbel_soft
0,0.46885943,test,1.2058876,0.6334053351597211,gumbel_soft
1,0.23308243,train,0.20762424,0.9114777777777778,gumbel_soft
1,0.23308243,val,0.74020725,0.7053148148148148,gumbel_soft
1,0.23308243,test,0.9489351,0.6916214460074109,gumbel_soft
2,0.19348568,train,0.17380072,0.92545,gumbel_soft
2,0.19348568,val,0.6349664,0.7244074074074074,gumbel_soft
2,0.19348568,test,0.8871615,0.7027202641237729,gumbel_soft
3,0.15939145,train,0.16861336,0.9321055555555555,gumbel_soft
3,0.15939145,val,0.73083234,0.695925925925926,gumbel_soft
3,0.15939145,test,1.2852424,0.6440914598809335,gumbel_soft
4,0.14177573,train,0.13030869,0.9413555555555555,gumbel_soft
4,0.14177573,val,0.4666465,0.7682777777777777,gumbel_soft
4,0.14177573,test,0.96370465,0.6949581160107476,gumbel_soft
5,0.12961951,train,0.12483506,0.9434222222222223,gumbel_soft
5,0.12961951,val,0.4824728,0.7712222222222223,gumbel_soft
5,0.12961951,test,1.2654505,0.6933863688249653,gumbel_soft
6,0.13000977,train,0.11612887,0.9456277777777777,gumbel_soft
6,0.13000977,val,0.39092794,0.8023148148148148,gumbel_soft
6,0.13000977,test,1.3763152,0.6999016560420069,gumbel_soft
7,0.117801815,train,0.12736584,0.9436222222222223,gumbel_soft
7,0.117801815,val,0.6278129,0.7244444444444444,gumbel_soft
7,0.117801815,test,2.2145238,0.6603884586340727,gumbel_soft
8,0.11289292,train,0.11755652,0.9464222222222223,gumbel_soft
8,0.11289292,val,0.27609673,0.8642592592592593,gumbel_soft
8,0.11289292,test,1.9462425,0.7068647594963384,gumbel_soft
9,0.10518308,train,0.10675116,0.9505055555555556,gumbel_soft
9,0.10518308,val,0.2603501,0.8740555555555556,gumbel_soft
9,0.10518308,test,2.4080067,0.7050822752577138,gumbel_soft
10,0.10440534,train,0.108218186,0.9498388888888889,gumbel_soft
10,0.10440534,val,0.25288412,0.8834444444444445,gumbel_soft
10,0.10440534,test,2.3417723,0.7131693096605377,gumbel_soft
11,0.12210686,train,0.09818838,0.9534388888888888,gumbel_soft
11,0.12210686,val,0.29178706,0.858,gumbel_soft
11,0.12210686,test,3.0124948,0.6998928753314718,gumbel_soft
