feature,value,F,P,T
attn_0_0_outputs,(,0.85737604,0.92325467,-0.31089532
attn_0_0_outputs,),0.7721992,0.2990516,-0.88728005
attn_0_0_outputs,<pad>,0.11989995,0.13567236,0.5190523
attn_0_0_outputs,<s>,-0.18746302,0.49172932,1.873612
attn_0_0_outputs,_,0.0039424715,0.7176002,-0.15784593
attn_0_0_outputs,_,-0.46216172,0.9676321,-1.1022477
attn_0_0_outputs,_,0.05112385,-0.40477493,-0.07647134
attn_0_0_outputs,_,-0.80179167,1.1702414,0.02752334
attn_0_0_outputs,_,-0.605904,0.31340975,0.81660885
attn_0_0_outputs,_,-0.9022801,0.35420334,-0.18928173
attn_0_0_outputs,_,-0.03500716,0.29615438,-0.38088644
attn_0_0_outputs,_,-0.34691358,0.55436087,-0.03600187
attn_0_0_outputs,_,1.0053798,0.70627195,0.20148298
attn_0_0_outputs,_,-0.13690676,-0.3551189,-0.1795839
attn_0_0_outputs,_,0.36931878,0.039593376,-0.051825073
attn_0_0_outputs,_,-0.35122702,-0.13395223,0.6990269
attn_0_0_outputs,_,-0.06851414,0.5887447,0.94017255
attn_0_0_outputs,_,-0.47088745,0.6563098,-0.9775809
attn_0_0_outputs,_,0.81057376,-0.008066269,-0.49582323
attn_0_0_outputs,_,-0.201134,0.42766434,-0.5014915
attn_0_0_outputs,_,0.48685783,0.28364405,-0.42193526
attn_0_0_outputs,_,-0.5141344,0.03894033,-0.8340579
attn_0_0_outputs,_,-1.0000912,0.5251462,0.1322704
attn_0_0_outputs,_,0.28997916,-0.86294085,-0.43616328
attn_0_0_outputs,_,-0.08614905,0.30216572,-0.53525645
attn_0_0_outputs,_,0.7852288,0.18495831,-0.24824834
attn_0_0_outputs,_,0.5162623,-0.36742735,-0.301627
attn_0_0_outputs,_,0.9742832,0.45377153,-0.39531532
attn_0_0_outputs,_,0.68086386,-0.13208678,-0.17792755
attn_0_0_outputs,_,-0.03825548,0.56861657,0.42657888
attn_0_0_outputs,_,0.27289712,-0.12029878,-0.001103075
attn_0_0_outputs,_,1.6722126,1.3782767,-0.5592095
attn_0_0_outputs,_,0.7692288,0.5069315,0.27516386
attn_0_0_outputs,_,0.65669125,0.24053408,0.030273264
attn_0_0_outputs,_,0.11411864,0.11286628,-0.6866675
attn_0_0_outputs,_,-0.92013025,0.5567315,0.37405077
attn_0_0_outputs,_,0.50342935,0.36878803,-0.53488404
attn_0_0_outputs,_,0.30313128,0.6115163,-1.1442026
attn_0_0_outputs,{,-0.3747008,-0.00057776045,0.5168027
attn_0_0_outputs,},0.42094237,-0.5098001,-1.5085353
attn_0_1_outputs,(,1.6520146,-0.3585815,-0.98918056
attn_0_1_outputs,),0.064821064,-0.1319513,0.9245775
attn_0_1_outputs,<pad>,0.33285347,0.4289906,-0.22887091
attn_0_1_outputs,<s>,0.44748515,0.47727454,0.2891073
attn_0_1_outputs,_,0.4211822,0.5724988,0.23772863
attn_0_1_outputs,_,0.5247723,0.6511142,0.041131634
attn_0_1_outputs,_,-0.38616842,0.13589856,-0.23806444
attn_0_1_outputs,_,0.887845,-0.20574012,-0.5522369
attn_0_1_outputs,_,0.38613522,0.11583055,-0.054642677
attn_0_1_outputs,_,1.3953178,-0.047430824,-0.83459496
attn_0_1_outputs,_,0.1622209,-0.17359868,0.498304
attn_0_1_outputs,_,0.35496497,0.60602653,-1.1275519
attn_0_1_outputs,_,-0.16134655,0.5751966,0.10162803
attn_0_1_outputs,_,0.7268392,1.8859905,-1.3747492
attn_0_1_outputs,_,-0.1939267,-0.11934441,0.277516
attn_0_1_outputs,_,-0.13056938,1.7812562,-0.65448195
attn_0_1_outputs,_,-2.0851743,1.072421,1.270404
attn_0_1_outputs,_,-1.1091677,1.457683,-0.9010905
attn_0_1_outputs,_,0.9525722,0.30197424,0.52973795
attn_0_1_outputs,_,-0.07684693,0.240986,0.94830763
attn_0_1_outputs,_,-0.81210613,0.78925645,-0.05795362
