feature,value,1,2,3,4,5,6
attn_0_0_outputs,0,3.500309,3.3869612,-1.3053873,-3.7400892,-5.5876236,-9.627787
attn_0_0_outputs,1,1.4852791,1.7260377,-0.9873444,-1.6746298,-1.8490726,-4.1735835
attn_0_0_outputs,10,0.75486606,0.43102857,0.6050764,-0.1257777,-1.1092777,-0.49821144
attn_0_0_outputs,11,0.670784,-0.05911279,-0.31709102,-0.25587884,-0.65684134,-0.028311336
attn_0_0_outputs,12,1.2206455,0.68625027,-0.20227106,-0.7665853,-0.80599225,-0.5298176
attn_0_0_outputs,13,0.7816295,-0.05057584,0.63284534,-0.1683675,-0.32700744,-0.3179533
attn_0_0_outputs,14,0.47097388,0.43957114,0.23450921,-0.1867905,-0.38243583,-1.0725324
attn_0_0_outputs,15,0.2546535,0.21788773,-0.09379257,-0.30195624,-0.9347586,0.12983859
attn_0_0_outputs,16,0.30406326,1.0732464,-0.569744,0.0052701808,-0.865127,-0.41218364
attn_0_0_outputs,17,0.26872396,-0.10228912,0.5730522,-0.31505102,-0.20401904,-0.25119275
attn_0_0_outputs,18,1.2475933,0.43577832,1.1674263,-1.0840876,-0.43648705,-0.639596
attn_0_0_outputs,19,0.7396088,-0.46744108,-0.45663443,0.12898827,-0.641757,0.64541334
attn_0_0_outputs,2,4.0978928,3.5596278,-1.1607375,-3.564334,-5.674553,-9.125609
attn_0_0_outputs,3,4.4553595,3.0346143,-1.1524469,-3.4486697,-5.0922837,-8.800534
attn_0_0_outputs,4,1.3070695,2.3407288,-0.4539722,-1.0890629,-2.2743163,-4.66465
attn_0_0_outputs,5,1.0527585,1.5737834,-1.0430733,-1.4428418,-1.9414159,-3.7169342
attn_0_0_outputs,6,1.5218167,2.16414,-0.81819767,-1.0929834,-1.5410827,-4.448079
attn_0_0_outputs,7,0.7128886,2.268531,-0.8516926,-1.2740518,-1.2711986,-4.143395
attn_0_0_outputs,8,0.83860344,1.7247908,-0.45352733,-1.0071481,-1.2449256,-3.2191746
