feature,value,1,2,3,4,5,6,7
attn_0_0_outputs,0,3.2485428,-0.8304568,3.1065557,0.81463385,-4.1235533,-5.4469385,-11.390098
attn_0_0_outputs,1,3.1792605,-0.81749004,3.1172957,0.8005779,-4.085339,-4.938925,-9.383846
attn_0_0_outputs,10,1.2012366,0.642495,-0.45989808,0.31916144,-0.31837013,-0.0891173,-0.6278962
attn_0_0_outputs,11,1.0120319,0.3668314,0.085565045,0.55985504,-0.48424706,-0.6262476,-0.11468479
attn_0_0_outputs,12,0.31320244,0.39448854,0.7128605,0.47996625,-0.43813565,-0.9843226,-0.22651668
attn_0_0_outputs,13,0.032992445,-0.16333315,0.23049556,0.60140395,-0.8509059,-0.59034294,-0.41933084
attn_0_0_outputs,14,0.12029059,0.18551996,0.015445932,-0.08780576,-0.47328565,-0.5262395,-0.5286746
attn_0_0_outputs,15,0.97063345,0.046878047,-0.6825203,-0.07567592,-0.78570426,-0.43644702,-0.8528535
attn_0_0_outputs,16,0.6498307,0.63350594,-0.21166544,-0.57089585,-0.08322379,-0.47665018,-0.89796007
attn_0_0_outputs,17,0.55090237,-0.26751995,-0.02224029,0.109227225,-0.86508876,-0.33459836,-0.14591776
attn_0_0_outputs,18,0.4161316,-0.041681647,-0.5583125,0.3241634,-0.46251562,-1.0330656,-0.5023826
attn_0_0_outputs,19,0.5267053,0.5316865,-0.34652475,0.07811593,-0.70365554,-0.4572395,0.0014875358
attn_0_0_outputs,2,3.084357,-0.8917103,2.9393396,0.6315315,-4.495486,-6.4843974,-7.5821624
attn_0_0_outputs,3,2.565357,-1.4470903,2.0998957,-0.2688421,-5.3368726,-7.8713617,1.930675
attn_0_0_outputs,4,2.6312249,-1.3479795,2.4345124,0.1063658,-4.926336,-6.1799345,-5.743631
attn_0_0_outputs,5,2.6371217,-1.2740403,2.345144,-0.09157367,-4.8155203,-10.557012,-6.1337786
attn_0_0_outputs,6,2.7314932,-1.097825,2.6332767,0.3197396,-4.7676134,-11.662405,1.3963096
attn_0_0_outputs,7,2.6810288,-1.0628667,2.8929677,0.6048431,-3.9961183,-7.8050303,-5.344996
attn_0_0_outputs,8,2.6040077,-1.0244421,3.3430908,1.2100656,-3.4766989,-5.585244,-6.1556225
attn_0_0_outputs,9,3.3435836,-0.23336725,4.465784,2.4252758,-2.0386965,-3.6791158,-5.8032928
attn_0_1_outputs,0,3.6917055,-0.9190048,2.977963,0.3483361,-4.3003635,-7.1718674,-6.691596
attn_0_1_outputs,1,3.4183314,-1.1034954,2.877888,0.25182566,-4.256398,-9.852131,-7.980071
attn_0_1_outputs,10,0.6058161,-0.6323641,0.68612754,-0.5702948,0.16089645,-0.6891916,-0.4564239
attn_0_1_outputs,11,0.0100753065,0.06077419,-0.14639196,-0.43000513,-0.10152444,-0.85233843,0.28351483
attn_0_1_outputs,12,0.91769177,0.3394381,0.30544084,0.37682885,-0.1646945,-0.46145338,-0.13496438
attn_0_1_outputs,13,0.22083285,-0.37735826,0.905467,-0.4917616,-0.73421025,-0.25656894,-0.011697887
attn_0_1_outputs,14,0.73234427,-0.22245498,0.26956972,0.26291654,-0.023980036,-1.2707455,-0.48284248
attn_0_1_outputs,15,0.7972101,-0.3931201,0.21022753,-0.3922932,-0.51688236,-0.7537788,-0.5701109
attn_0_1_outputs,16,-0.04671401,0.5766604,-0.09160862,-0.4550846,-0.29076257,-1.2358903,-0.29479587
attn_0_1_outputs,17,0.82177085,0.036677375,0.6002702,1.011855,0.09045694,-0.65593445,-0.79308087
attn_0_1_outputs,18,0.195818,-0.815236,0.23850697,0.17959175,-0.34910256,-0.6911562,0.29102665
attn_0_1_outputs,19,0.7095747,0.4478691,0.037830915,0.7774825,-0.4641178,-0.22302203,-0.71872395
attn_0_1_outputs,2,3.1374714,-1.3283504,2.6394103,0.16999756,-4.47828,-9.738685,-8.8057785
attn_0_1_outputs,3,3.1056123,-1.420383,2.5279047,-0.14154068,-4.8260894,-10.062743,-6.2523637
attn_0_1_outputs,4,3.3023343,-1.1313161,3.0966492,0.6582663,-4.1514688,-7.180071,-8.751677
attn_0_1_outputs,5,3.1044323,-1.2976418,2.7238476,0.10439504,-4.6662493,-9.514494,-5.299297
attn_0_1_outputs,6,2.9490697,-1.3585132,2.7689993,0.18903272,-4.4187083,-7.3444433,-4.179694
attn_0_1_outputs,7,2.7722216,-1.429658,3.0511584,0.5883111,-3.9266841,-6.318629,-5.48488
attn_0_1_outputs,8,3.0541975,-1.0786783,3.7835653,1.4105382,-3.375847,-4.7369704,-5.994478
attn_0_1_outputs,9,3.1780007,-0.88142496,4.200286,1.8757776,-2.6663837,-3.7234776,-3.1457963
attn_0_2_outputs,0,2.457273,-1.0214856,2.1544988,-0.00080696325,-3.5347693,-6.352726,-3.8294597
attn_0_2_outputs,1,3.1106856,-1.136093,2.8012064,-0.22190858,-5.073335,-8.45535,-19.992702
attn_0_2_outputs,2,2.9430497,-1.1049923,3.0725663,0.05603191,-4.6895523,-7.6941442,-10.730566
attn_0_2_outputs,3,2.7930064,-1.1155995,3.0106213,0.007960574,-4.964017,-6.0860257,-12.880544
attn_0_2_outputs,4,2.5907025,-1.2030784,3.0694704,0.38194233,-4.0845485,-6.897204,-9.079812
attn_0_2_outputs,5,2.07222,-0.77331805,1.3925763,-0.077193685,-3.1695092,-4.6339808,-0.42675784
attn_0_2_outputs,<pad>,1.7594521,-0.53253525,1.4689932,-0.38258237,-2.9194598,-3.859332,-1.5834923
attn_0_2_outputs,<s>,3.0597737,-0.9161502,3.795798,1.0873691,-3.5900183,-6.373255,-4.4455075
attn_0_2_outputs,_,0.65028965,-0.7484879,1.9024966,0.7699046,-1.5876406,-1.8057047,1.0757015
attn_0_2_outputs,_,-0.08613976,-1.2711586,1.9379011,1.1863773,-0.9509592,-0.07238496,0.09045065
attn_0_2_outputs,_,0.51534563,0.27030092,0.52008075,-0.12114901,-0.7017149,-1.1200573,-0.54078853
attn_0_2_outputs,_,0.7985854,0.008632501,-0.27176702,-0.5596747,-0.5221483,-0.5947759,0.40155968
attn_0_2_outputs,_,0.64865947,0.9797885,-0.4867356,-0.1865094,-1.5342567,-0.6167395,-1.0291342
attn_0_2_outputs,_,0.7598164,0.28128225,0.5378133,0.7765738,-1.7591565,-0.71152496,-0.5340924
attn_0_2_outputs,_,0.43216273,0.5642061,-0.61119044,-0.41621783,-0.74428886,-1.3800391,-0.9356503
attn_0_2_outputs,_,0.8295091,0.49547395,-0.1582744,-0.16382965,-0.93354696,-0.6510643,-0.44333237
attn_0_2_outputs,_,0.28273925,1.0776287,-0.6756432,-0.0062688384,0.104074255,-1.1608027,0.08645332
attn_0_2_outputs,_,-0.040415738,-0.57569957,0.24763411,-0.3010538,-0.3330201,-1.0411235,-0.7551892
attn_0_2_outputs,_,1.0316168,-0.45645037,0.19154741,-0.2568002,-1.2263155,-1.0683717,-0.725027
attn_0_2_outputs,_,0.79298717,0.27761886,0.54669803,0.64065987,-1.2770525,-1.0690998,-1.5267398
attn_0_3_outputs,0,4.2871866,-0.66977006,3.6130939,0.58189005,-4.286681,-7.3436856,-6.8468676
attn_0_3_outputs,1,2.8961012,-1.0915198,2.5929155,0.01113016,-4.590423,-6.8964176,-4.9663234
attn_0_3_outputs,10,0.5976747,-0.27009442,0.20760846,0.018351834,-1.3080812,-0.54723173,-0.5211039
attn_0_3_outputs,11,0.2740708,0.31337774,-0.009611019,-0.14830585,-0.21819057,-0.38750142,-0.68005306
attn_0_3_outputs,12,0.7227212,0.77913564,-0.24376635,0.06227831,-0.8535807,0.49629492,-0.29739472
attn_0_3_outputs,13,0.52503943,-0.54519814,0.6611686,0.084491864,0.18827482,-0.16717896,-0.5494753
attn_0_3_outputs,14,0.64227337,0.1270167,-0.42764196,-0.6767584,-0.63681185,-0.7897537,-0.011276581
attn_0_3_outputs,15,0.61636686,0.6288351,0.3851482,-0.46941566,-0.38680872,-0.46560696,-0.95714134
attn_0_3_outputs,16,0.35527045,0.10241357,0.53198737,-0.94852334,-0.49383622,-0.61912066,-0.19116957
attn_0_3_outputs,17,0.5693499,0.08799277,0.024346069,0.09353036,-0.3796542,-0.8625641,-0.34371704
attn_0_3_outputs,18,0.30367425,0.050164267,0.5369889,0.17637211,-0.79052144,-0.45094895,-0.24488078
attn_0_3_outputs,19,0.16307731,-0.15679203,0.15646616,-0.1068275,-0.7856585,-0.32859156,-0.7597976
attn_0_3_outputs,2,2.7299662,-1.252384,2.6324778,0.010859722,-4.604736,-9.353316,-6.216258
attn_0_3_outputs,3,2.9740183,-1.0225775,2.384389,-0.28664854,-4.881435,-6.597784,-5.626314
attn_0_3_outputs,4,2.5868628,-1.3873793,2.4820116,-0.15115619,-4.667828,-9.480786,-6.732269
attn_0_3_outputs,5,2.6424804,-1.3467216,2.5720198,-0.25596067,-4.5717506,-9.568677,-5.3379955
attn_0_3_outputs,6,2.8042805,-1.0910264,3.403907,0.88217163,-3.471433,-7.92294,-4.946071
attn_0_3_outputs,7,2.619185,-1.162428,3.0772247,0.5649025,-3.9720356,-5.4971766,-3.4478054
attn_0_3_outputs,8,2.7772892,-0.8726859,3.7993293,1.1378233,-2.8833456,-7.6945076,-4.1520853
attn_0_3_outputs,9,2.6300232,-0.7961277,4.2746787,1.7233523,-2.9383152,-6.613002,-1.9198339
mlp_0_0_outputs,0,0.9250949,0.57678574,0.2604032,-0.33602673,-1.6752096,-1.364196,-0.35901785
mlp_0_0_outputs,1,0.6811313,0.3200485,-0.081747726,-0.3475656,-1.3001333,-3.2478929,-1.0884274
mlp_0_0_outputs,10,0.74129415,0.47589472,0.31409988,1.1868409,-2.1138859,-0.89229286,0.16908932
mlp_0_0_outputs,11,1.0304722,0.7494787,0.43529138,0.08429627,-1.1028932,-2.034736,-0.93439174
mlp_0_0_outputs,12,0.45755717,0.19866446,-0.025806211,-0.33908528,-1.0234882,-0.60175854,-0.45853585
mlp_0_0_outputs,13,0.78667873,0.24231994,0.23380332,-0.5292943,-1.3707687,-1.4153801,0.12956558
mlp_0_0_outputs,14,0.20665908,0.4470755,0.037377786,-0.364289,-1.2275158,-0.21577293,0.15911038
mlp_0_0_outputs,15,0.67346895,0.3092951,0.07166155,-0.1702982,-0.6604536,-0.7166925,-0.6981967
mlp_0_0_outputs,16,0.7755583,0.41555083,0.07717626,-0.58009684,-0.93211526,-0.8488263,-0.17895888
mlp_0_0_outputs,17,0.72201735,0.3831116,0.023335084,-0.42276627,-1.3623003,-2.348988,-0.34718528
mlp_0_0_outputs,18,4.0411544,-0.9900855,3.2853916,1.4843187,-5.5415196,-14.028484,-16.778908
mlp_0_0_outputs,19,0.6454609,0.24780717,0.0400507,-0.45687622,-0.9994331,-1.0519491,0.3488527
mlp_0_0_outputs,2,0.49772388,0.06250726,-0.11953897,-0.36808914,-1.3649021,0.08451194,-1.0156419
mlp_0_0_outputs,3,1.0828838,0.3057896,-0.4186919,-0.7443335,-1.1215208,-0.66184443,-0.70100266
mlp_0_0_outputs,4,0.53238183,0.28409344,-0.029125312,-0.6124807,-0.9416051,-0.9150194,-0.055140745
mlp_0_0_outputs,5,0.5018858,0.1668632,-0.16384159,-0.68344265,-1.1125784,-0.2306016,0.1914464
mlp_0_0_outputs,6,-0.11080537,0.40575683,-0.123776,-0.0012785302,-0.46936646,-0.61039513,0.39073396
mlp_0_0_outputs,7,0.8818739,0.38103658,0.019780416,-0.6847671,-1.9242316,-2.243952,-0.15808938
mlp_0_0_outputs,8,0.9095118,0.5287891,0.24301048,-0.44356582,-1.560358,-1.0176543,-0.7371636
mlp_0_0_outputs,9,0.25711343,0.27006638,0.36520913,-0.77311903,-0.8083946,-0.17748982,-0.2402739
mlp_0_1_outputs,0,-0.30139676,-0.21182741,-0.28737295,-0.57403845,-0.32491297,-0.044030476,0.10495894
mlp_0_1_outputs,1,1.3403171,0.5836115,0.1563029,-0.7499812,-2.2534883,-2.4271283,-0.15573809
mlp_0_1_outputs,10,1.0327525,0.546941,0.16327627,-0.9313161,-2.3982673,-2.0925052,0.0154747795
mlp_0_1_outputs,11,0.3992264,0.1110133,-0.06209528,-0.5409124,-0.9103458,-0.3247845,-0.045850534
mlp_0_1_outputs,12,0.28778133,0.39420113,0.6491322,-0.6058599,0.5108059,-0.50908804,-0.65619296
mlp_0_1_outputs,13,0.6661784,0.76549906,0.6403064,0.06530361,-0.47552413,-0.041380666,-0.23379464
mlp_0_1_outputs,14,0.5850545,0.24216475,0.17846319,-0.500298,-0.9308179,-0.71651417,-0.15390587
mlp_0_1_outputs,15,1.7559586,0.8952116,0.28121194,-0.7154188,-2.2768955,-2.1675844,-0.41465095
mlp_0_1_outputs,16,1.162864,0.5707561,-0.05229277,-1.1080017,-1.1831028,-0.6257342,-0.28498605
mlp_0_1_outputs,17,0.04654589,0.13505241,0.23057911,-0.01962936,-0.104284115,-0.60654914,-0.746815
mlp_0_1_outputs,18,1.0995078,0.55462545,0.09239911,-0.28006247,-1.4043037,-3.882323,-0.6976452
mlp_0_1_outputs,19,0.7319906,0.50027025,0.26663995,0.23465404,-0.2429386,-1.5597882,-1.2899489
mlp_0_1_outputs,2,0.8509326,0.3190588,-0.105346985,-1.2936821,-2.3231325,-1.1460738,-0.6857624
mlp_0_1_outputs,3,0.35797873,0.759358,0.4659841,-0.38483262,-1.4673417,-0.62384623,0.28109258
mlp_0_1_outputs,4,0.7046815,0.38967752,-0.053124055,-1.2955734,-0.7242785,-0.93761444,-0.14870837
mlp_0_1_outputs,5,2.3634667,0.8801148,1.007205,-0.4911241,-1.7567993,-6.6049137,-5.9136395
mlp_0_1_outputs,6,0.71624225,0.39582422,0.13497,1.1950212,-1.9936432,-0.85026705,-0.33735627
mlp_0_1_outputs,7,0.56475663,0.47279337,0.11696389,-0.7303986,-1.2134659,-1.1038176,0.029308936
mlp_0_1_outputs,8,1.0589287,0.6583951,0.42112228,-0.23743422,-1.2256582,-1.0489042,-0.61270005
mlp_0_1_outputs,9,3.810728,-0.22495909,2.5398057,3.8925223,-6.176998,-12.49985,-13.815166
num_attn_0_0_outputs,_,-10.200484,1.3340714,-4.7569175,3.9193256,10.117308,13.686821,12.923292
num_attn_0_1_outputs,_,-8.298991,0.6836552,-4.860387,1.5997589,6.861892,10.850921,11.576815
num_attn_0_2_outputs,_,0.83685595,0.50374585,0.10030423,-0.12394446,-0.45908844,-0.99751747,-9.227768
num_attn_0_3_outputs,_,0.7546197,0.545692,0.081939526,-0.06795513,-0.3355115,-0.42116025,-6.877571
num_mlp_0_0_outputs,0,4.626244,6.192784,-13.746314,-18.139261,-4.854547,-1.2509724,-0.62660325
num_mlp_0_0_outputs,1,0.66354334,1.5991768,-1.0892688,-3.7165875,-1.4025964,-0.8280395,-1.147645
num_mlp_0_0_outputs,10,1.1145416,2.0423803,-2.0039127,-0.9571587,-1.6104652,-0.9875962,-0.67006004
num_mlp_0_0_outputs,11,2.5053844,3.6812,-4.700831,-7.0747247,-1.8578107,-1.0321066,0.07507663
num_mlp_0_0_outputs,12,0.78045535,1.4327708,-0.67163676,-1.62772,-0.96546656,-0.14162947,-0.8059082
