feature,value,1,2,3,4,5,6,7,8,9
attn_0_0_outputs,0,4.1743717,2.347533,-0.3532347,0.5075186,1.2218499,-4.9146495,-10.874915,-14.667343,-17.775019
attn_0_0_outputs,1,2.3453827,1.8000852,0.19663298,0.86820585,3.883531,-0.71256495,-5.422575,-6.745254,-10.4613695
attn_0_0_outputs,10,3.2893567,2.5696,1.138934,1.9714167,2.7374952,-2.2633083,-6.8412914,-10.072256,-12.762677
attn_0_0_outputs,11,2.5894542,2.4223878,1.2802546,1.9703829,2.491286,-2.201218,-6.9110126,-9.275548,-12.371412
attn_0_0_outputs,12,2.9971566,2.3799753,0.46330625,1.504448,4.243058,-0.78344905,-6.1470337,-8.76133,-11.892535
attn_0_0_outputs,13,3.438291,2.685562,0.5734783,1.3427159,4.2041197,-0.6777641,-6.0275764,-7.3434668,-10.188109
attn_0_0_outputs,14,5.7628174,4.238763,1.4354484,2.7417312,4.2045517,-1.7872562,-7.398516,-9.096053,-17.556448
attn_0_0_outputs,15,2.9494472,2.7383447,0.916488,2.0533042,3.9520311,-0.9245919,-5.962655,-8.20761,-10.283453
attn_0_0_outputs,16,2.906034,3.0077102,0.13201492,1.985923,5.629344,0.5481488,-4.1415586,-7.8776445,-8.168447
attn_0_0_outputs,17,2.6137047,3.1766748,0.32374048,0.9153508,6.001333,0.9566964,-3.0124104,-6.012927,-10.1601715
attn_0_0_outputs,18,2.972275,3.5034654,0.44831258,0.15953736,6.822897,2.1591012,-2.9405425,-6.728414,-8.667921
attn_0_0_outputs,19,5.070764,4.591001,3.1933146,4.1707544,6.7077246,1.1346895,-3.714074,-7.1927896,-7.8189707
attn_0_0_outputs,2,1.6564031,1.328449,-0.46882135,0.6186145,3.3174381,-1.2913198,-5.6694613,-8.095708,-10.394783
attn_0_0_outputs,20,0.8597163,0.1442898,0.34931856,0.00959865,0.1841203,-0.40364328,-0.4244357,-0.6371933,-0.5029449
attn_0_0_outputs,21,1.4723618,0.8965184,-0.7463842,0.91567063,-0.24984503,-0.73965204,-0.748044,-1.7972276,-0.6747152
attn_0_0_outputs,22,1.0239817,0.98668337,-0.6268208,0.19951063,-0.41439041,0.119346045,-0.9879407,-1.0207813,-0.320251
attn_0_0_outputs,23,1.2674798,0.24760187,0.4271151,0.51765615,0.30408117,-0.4481864,-0.48456088,-0.747262,-0.8448976
attn_0_0_outputs,24,0.77286917,0.9139498,-0.6378198,0.17049512,-0.3293106,-0.31111455,-0.5078114,-0.6734739,-1.0365825
attn_0_0_outputs,25,1.0512843,0.4941224,-0.42193976,-0.277748,-0.71298176,-0.51679164,-0.079312995,-0.8262094,0.07886828
attn_0_0_outputs,26,0.35872298,0.20205976,0.21633634,0.67664206,0.064839974,-0.15099737,-0.52722526,-0.9484161,-0.65744627
attn_0_0_outputs,27,1.221277,0.033522967,0.28437385,0.013085631,0.072190315,0.05700724,-0.56596893,-0.9156735,-0.61412954
attn_0_0_outputs,28,0.7001913,0.800631,-0.23922321,0.74972016,-0.19003625,-0.5395703,-0.5507347,-0.8783307,-0.96869206
attn_0_0_outputs,29,1.2354728,0.693213,-0.076938786,-0.20463553,-0.40801945,-0.4085107,-0.69224316,-0.749402,-1.2594255
attn_0_0_outputs,3,2.0484102,1.5152297,-0.14045195,0.60257983,3.4109802,-1.1124569,-5.3728223,-8.241478,-9.00063
attn_0_0_outputs,4,1.6022075,1.3147476,-0.3110298,0.3501766,3.553377,-0.8854959,-5.2886853,-7.994966,-9.4434185
attn_0_0_outputs,5,2.0863886,1.6568202,0.073947005,1.062854,3.863143,-0.7950881,-5.869086,-6.9348087,-8.535788
attn_0_0_outputs,6,2.2874727,1.9200579,0.32874814,1.1872036,3.99805,-0.6399355,-4.8673844,-7.386583,-8.82121
attn_0_0_outputs,7,2.2409813,2.103082,0.696589,1.7692279,2.8645911,-1.8961511,-6.7379384,-9.972689,-11.61747
attn_0_0_outputs,8,5.0970592,3.0608292,-0.2413148,1.9094087,3.4231598,-2.797892,-8.7924385,-12.927459,-15.227929
attn_0_0_outputs,9,5.010967,3.8783486,1.7870686,2.6471074,3.5084586,-2.5020912,-8.52561,-12.60358,-15.693006
attn_0_1_outputs,0,2.8823974,2.9016697,1.0239081,2.151554,3.1293354,-2.7126093,-9.26262,-12.664894,-15.802515
attn_0_1_outputs,1,3.0129957,3.1027162,1.0744879,1.9240576,3.2810657,-2.713039,-9.072549,-12.889952,-17.475239
attn_0_1_outputs,2,1.4184569,2.1282585,0.45712382,1.1801065,3.5604854,-1.09279,-6.0871854,-8.618935,-9.852667
attn_0_1_outputs,3,1.2998124,1.9895935,0.21336225,1.2274125,3.7437856,-0.95896196,-5.9760447,-8.9127655,-9.521316
attn_0_1_outputs,4,1.741829,2.2265856,0.8715605,1.485461,3.0573692,-1.5391656,-6.588044,-9.429561,-10.200881
attn_0_1_outputs,5,1.4161731,1.9490454,0.340728,0.9416959,4.0500116,-0.5983914,-5.8072186,-8.171277,-10.476882
attn_0_1_outputs,<pad>,2.0338035,1.3596745,0.47804072,-0.3309431,-1.1741024,-1.5793043,-3.082981,-2.8031073,-2.5911996
attn_0_1_outputs,<s>,3.247051,3.2773662,1.0789331,2.2663171,4.322678,-1.4467672,-8.001149,-11.263088,-13.878346
attn_0_1_outputs,_,1.357116,0.92232823,0.5839491,1.1318184,-0.20526928,-1.1726781,-2.7825959,-3.5734653,-3.209644
attn_0_1_outputs,_,1.3956234,1.0606617,0.9079625,0.9889201,-0.12591949,-0.37074158,-2.6085253,-3.520949,-3.3869054
attn_0_1_outputs,_,1.3860406,0.7341796,0.7289681,1.065961,-0.2650788,-0.3494474,-2.259287,-3.3218808,-2.6181197
attn_0_1_outputs,_,1.0072452,0.5764844,0.05322735,0.7304343,-0.4015959,-0.5459599,-2.437946,-3.6702688,-3.4785323
attn_0_1_outputs,_,1.29163,0.9334776,0.27544916,0.8292334,-0.044002768,-0.100398086,-2.1741462,-3.97031,-3.5817034
attn_0_1_outputs,_,1.2761424,0.8943828,0.069063246,0.5154182,0.4612372,-0.6736955,-1.4892687,-3.5899465,-3.8873196
attn_0_1_outputs,_,1.2164154,1.1192476,0.64544857,1.0072808,-0.04967415,-0.15826112,-1.084747,-2.6497655,-4.6222177
attn_0_1_outputs,_,1.6928658,1.386423,0.5559714,0.8397639,0.16540645,-0.39262006,-1.4120251,-2.0373669,-3.8008528
attn_0_1_outputs,_,0.47174492,0.6815338,0.52881426,0.79344875,-0.2737573,-0.1915139,-2.4601045,-1.1265404,-2.378227
attn_0_1_outputs,_,1.0563996,0.90601873,0.15497881,0.8387396,0.023963353,0.18191688,-1.7661215,-1.4121858,-0.94833326
attn_0_1_outputs,_,0.9116957,0.8726636,0.8644994,0.6601408,-0.26328722,0.03204784,-0.33730334,-1.6398773,-1.1948876
attn_0_1_outputs,_,0.6526619,0.54375464,0.9240278,1.3975896,0.8851474,-0.08411664,0.2852404,-4.140423,-2.0562634
