feature,value,0,1,2,3,4,5,<s>
attn_0_0_outputs,0,2.3341966,-2.5610514,-0.503855,0.42816374,0.31607404,-0.37964785,-10.259771
attn_0_0_outputs,1,-1.1268919,1.108604,-0.18291824,0.3564922,-1.0522236,0.58282375,-3.7291846
attn_0_0_outputs,2,-1.1325876,-0.10865159,0.25073138,0.1434633,0.8076792,0.28315932,-0.44738543
attn_0_0_outputs,3,-0.94451606,0.34352496,-0.42913866,-0.21200909,1.726514,0.48929012,-4.0558157
attn_0_0_outputs,4,0.64337593,-0.48131898,1.1976862,-2.3536985,1.4771727,0.824842,-2.4389665
attn_0_0_outputs,5,-0.613952,-0.27819267,0.003806918,0.82693464,1.4453971,-0.04431705,-2.1317194
attn_0_0_outputs,<pad>,-0.6046231,-0.63924396,-0.67445624,-0.2194916,-0.13098396,0.36885196,0.6409996
attn_0_0_outputs,<s>,-2.207265,-3.150499,-1.0466058,-0.2845306,1.5853374,-1.364855,7.6507087
attn_0_0_outputs,_,0.16762994,0.28836033,-0.257268,0.39923787,0.12420355,0.05687558,-0.8966707
attn_0_0_outputs,_,-0.08365771,-0.2711405,-0.14474222,0.3548251,-0.5285861,0.17672625,-0.60645205
attn_0_0_outputs,_,0.44381815,-0.41029653,-0.17627394,0.6113331,0.085954495,-0.087173425,-0.20532845
attn_0_0_outputs,_,-0.20747373,0.4590659,0.015326293,0.21721192,-0.31193173,-0.23995754,-0.413045
attn_0_0_outputs,_,0.09418685,0.39813128,0.43895447,0.21557342,-0.050036613,0.4717011,-0.05172464
attn_0_0_outputs,_,-0.09428083,0.10131149,0.52631724,0.20842627,-0.4581057,0.6208474,-0.2847219
attn_0_0_outputs,_,-0.3105155,-0.013475958,-0.28636298,-0.07794975,-0.03164312,-0.18299037,0.05872532
attn_0_0_outputs,_,-0.24986683,-0.33714813,-0.29412165,0.13750352,-0.23154041,-0.3238141,0.4621833
attn_0_0_outputs,_,-0.32523257,0.05607992,-0.2823946,0.4792065,-0.77290624,-0.06442387,-0.66782534
attn_0_0_outputs,_,0.2788743,-0.2611203,0.12678888,0.2328162,0.090846054,0.17014003,0.17915502
