epoch,epoch_loss,split,loss,acc,sample_fn
0,1.5895507,train,1.3373654,0.4185843767379639,gumbel_soft
0,1.5895507,val,1.1333126,0.46199218461992186,gumbel_soft
0,1.5895507,test,1.7111069,0.30130079429031886,gumbel_soft
1,1.3222945,train,1.3108183,0.42614498940311746,gumbel_soft
1,1.3222945,val,1.136712,0.4645358696453587,gumbel_soft
1,1.3222945,test,1.6376553,0.3097386899965466,gumbel_soft
2,1.306924,train,1.2986534,0.43639615806640714,gumbel_soft
2,1.306924,val,1.0926188,0.47828651478286516,gumbel_soft
2,1.306924,test,1.6118369,0.3150915160584782,gumbel_soft
3,1.2824942,train,1.2663821,0.4502021674758376,gumbel_soft
3,1.2824942,val,1.0927927,0.4931431099314311,gumbel_soft
3,1.2824942,test,1.5996971,0.31491884425002875,gumbel_soft
4,1.2481925,train,1.2089118,0.47866344000360744,gumbel_soft
4,1.2481925,val,1.0593216,0.5101378751013788,gumbel_soft
4,1.2481925,test,1.6098775,0.31702544031311153,gumbel_soft
5,1.1847433,train,1.1478969,0.5078988110448075,gumbel_soft
5,1.1847433,val,1.028901,0.5250313352503133,gumbel_soft
5,1.1847433,test,1.6280367,0.3165880050650397,gumbel_soft
6,1.1115371,train,1.0718706,0.5407341159494355,gumbel_soft
6,1.1115371,val,1.0311797,0.5343581803435818,gumbel_soft
6,1.1115371,test,1.6555041,0.30116265684355936,gumbel_soft
7,1.0431385,train,1.0157913,0.561063596326414,gumbel_soft
7,1.0431385,val,1.0377917,0.5414362604143627,gumbel_soft
7,1.0431385,test,1.829107,0.27997007021986875,gumbel_soft
8,0.9882176,train,0.9746713,0.5694884937395722,gumbel_soft
8,0.9882176,val,1.0405269,0.5422104254221043,gumbel_soft
8,0.9882176,test,2.2723365,0.2362495683204789,gumbel_soft
9,0.9504096,train,0.9442134,0.5782515895323844,gumbel_soft
9,0.9504096,val,1.0816042,0.5290127552901276,gumbel_soft
9,0.9504096,test,2.190985,0.24776102221710603,gumbel_soft
10,0.9274072,train,0.9059309,0.5926438094665484,gumbel_soft
10,0.9274072,val,1.0833492,0.5385976553859766,gumbel_soft
10,0.9274072,test,2.234438,0.24018648555312536,gumbel_soft
11,0.9013741,train,0.89807254,0.594635422146733,gumbel_soft
11,0.9013741,val,1.1164078,0.5363857553638576,gumbel_soft
11,0.9013741,test,2.3030026,0.2440658455162887,gumbel_soft
12,0.8671417,train,0.8582271,0.6118309308722512,gumbel_soft
12,0.8671417,val,1.0854892,0.5466710904667109,gumbel_soft
12,0.8671417,test,2.276325,0.23930010360308507,gumbel_soft
13,0.8340229,train,0.81279194,0.6318898525455064,gumbel_soft
13,0.8340229,val,1.0476753,0.5670205706702057,gumbel_soft
13,0.8340229,test,2.545253,0.24778404512489927,gumbel_soft
14,0.79522943,train,0.7883223,0.6429827593981572,gumbel_soft
14,0.79522943,val,1.0396222,0.5816191108161911,gumbel_soft
14,0.79522943,test,2.655812,0.2513525958328537,gumbel_soft
15,0.7590345,train,0.7303361,0.6706924799711405,gumbel_soft
15,0.7590345,val,0.96350837,0.6036643810366438,gumbel_soft
15,0.7590345,test,2.6871789,0.25600322320709107,gumbel_soft
16,0.71558577,train,0.6988562,0.6862045123179366,gumbel_soft
16,0.71558577,val,0.9063828,0.6284745262847453,gumbel_soft
16,0.71558577,test,2.9548676,0.2547945205479452,gumbel_soft
17,0.6790443,train,0.6606615,0.7114792045574111,gumbel_soft
17,0.6790443,val,0.9042394,0.6493769814937698,gumbel_soft
17,0.6790443,test,2.9678984,0.2577529641993784,gumbel_soft
18,0.63214743,train,0.6041498,0.7423379278209503,gumbel_soft
18,0.63214743,val,0.9204984,0.6636068716360687,gumbel_soft
18,0.63214743,test,3.3067682,0.26091861402095085,gumbel_soft
19,0.5852529,train,0.5480289,0.7753009965578921,gumbel_soft
19,0.5852529,val,0.9051999,0.6854678168546782,gumbel_soft
19,0.5852529,test,3.7903874,0.2577990100149649,gumbel_soft
20,0.5198391,train,0.46960363,0.8178087751206241,gumbel_soft
20,0.5198391,val,0.89386415,0.7156602521566026,gumbel_soft
20,0.5198391,test,4.7043986,0.25265339012317256,gumbel_soft
21,0.4379254,train,0.3991072,0.8524853823144793,gumbel_soft
21,0.4379254,val,0.9435784,0.7262773722627737,gumbel_soft
21,0.4379254,test,5.863322,0.24217796707724185,gumbel_soft
22,0.3834075,train,0.3757451,0.8635256805302951,gumbel_soft
22,0.3834075,val,0.92182356,0.7419081324190814,gumbel_soft
22,0.3834075,test,6.832845,0.23976056175895016,gumbel_soft
23,0.35567343,train,0.3411731,0.8792932405417186,gumbel_soft
23,0.35567343,val,0.906058,0.7535206075352061,gumbel_soft
23,0.35567343,test,7.686384,0.23786117186600667,gumbel_soft
24,0.32201844,train,0.30537692,0.8955944024410407,gumbel_soft
24,0.32201844,val,0.90486515,0.7699623976996239,gumbel_soft
24,0.32201844,test,8.3068285,0.23402785771842985,gumbel_soft
25,0.2922486,train,0.27627364,0.9078747613822543,gumbel_soft
25,0.2922486,val,0.9083089,0.7715475927154759,gumbel_soft
25,0.2922486,test,9.058439,0.23322205594566595,gumbel_soft
26,0.2695948,train,0.25930765,0.9150220204722752,gumbel_soft
26,0.2695948,val,0.9313107,0.7793629727936298,gumbel_soft
26,0.2695948,test,9.715784,0.2310003453436169,gumbel_soft
27,0.24637403,train,0.23963763,0.9232064212599017,gumbel_soft
27,0.24637403,val,0.9065659,0.7864041878640419,gumbel_soft
27,0.24637403,test,10.342817,0.22953839069874526,gumbel_soft
28,0.23039107,train,0.21736796,0.9328262862811706,gumbel_soft
28,0.23039107,val,0.9246146,0.784487207844872,gumbel_soft
28,0.23039107,test,10.906009,0.22740877172786922,gumbel_soft
29,0.20833352,train,0.19307126,0.9409505629124142,gumbel_soft
29,0.20833352,val,0.9320168,0.7922288579222886,gumbel_soft
29,0.20833352,test,11.359216,0.2265454126856222,gumbel_soft
30,0.18231423,train,0.1764314,0.9501044657217154,gumbel_soft
30,0.18231423,val,0.9337128,0.7975005529750055,gumbel_soft
30,0.18231423,test,11.955001,0.2267641303096581,gumbel_soft
31,0.16828577,train,0.15441985,0.9577627801409911,gumbel_soft
31,0.16828577,val,0.92585254,0.8035832780358327,gumbel_soft
31,0.16828577,test,12.47531,0.2247266029699551,gumbel_soft
32,0.14183603,train,0.12742998,0.9676005952291482,gumbel_soft
32,0.14183603,val,0.8812267,0.8200250682002507,gumbel_soft
32,0.14183603,test,13.147419,0.22295383906987454,gumbel_soft
33,0.12416824,train,0.110446654,0.973740774699755,gumbel_soft
33,0.12416824,val,0.81908005,0.836319398363194,gumbel_soft
33,0.12416824,test,13.685914,0.2228962818003914,gumbel_soft
34,0.10243579,train,0.09662326,0.9772354912895128,gumbel_soft
34,0.10243579,val,0.7739175,0.8448352134483521,gumbel_soft
34,0.10243579,test,14.1160145,0.22156095314838264,gumbel_soft
35,0.08878905,train,0.08596245,0.9803995250191646,gumbel_soft
35,0.08878905,val,0.7517788,0.8552311435523114,gumbel_soft
35,0.08878905,test,14.745047,0.22204443421204098,gumbel_soft
36,0.07968824,train,0.07552758,0.9824437463361843,gumbel_soft
36,0.07968824,val,0.74453443,0.8541989235419892,gumbel_soft
36,0.07968824,test,15.346141,0.2223091976516634,gumbel_soft
37,0.073020086,train,0.066053174,0.9847209487591877,gumbel_soft
37,0.073020086,val,0.7184069,0.8635257686352577,gumbel_soft
37,0.073020086,test,16.128716,0.22214803729711063,gumbel_soft
38,0.06775047,train,0.06267308,0.9854950472726179,gumbel_soft
38,0.06775047,val,0.6819709,0.8727051537270515,gumbel_soft
38,0.06775047,test,16.605278,0.22093933463796478,gumbel_soft
39,0.062102724,train,0.059135906,0.9860061026018728,gumbel_soft
39,0.062102724,val,0.6680315,0.8765391137653912,gumbel_soft
39,0.062102724,test,17.20374,0.22279267871532174,gumbel_soft
40,0.056295134,train,0.054342378,0.987464113394159,gumbel_soft
40,0.056295134,val,0.69807845,0.8720415837204158,gumbel_soft
40,0.056295134,test,17.573465,0.2216300218717624,gumbel_soft
41,0.05563954,train,0.053384405,0.9875317530700898,gumbel_soft
41,0.05563954,val,0.6823128,0.8788984737889848,gumbel_soft
41,0.05563954,test,18.206814,0.2205249222976862,gumbel_soft
42,0.05208754,train,0.052217767,0.9882306963880413,gumbel_soft
42,0.05208754,val,0.7414227,0.8742534837425349,gumbel_soft
42,0.05208754,test,18.56315,0.22034073903534016,gumbel_soft
43,0.05083242,train,0.050920308,0.9885688947676953,gumbel_soft
43,0.05083242,val,0.72826236,0.8776819287768193,gumbel_soft
43,0.05083242,test,19.057167,0.2219638540347646,gumbel_soft
44,0.0474225,train,0.0493153,0.9885538637285995,gumbel_soft
44,0.0474225,val,0.6461463,0.8937550689375506,gumbel_soft
44,0.0474225,test,19.428385,0.22237826637504315,gumbel_soft
