feature,value,0,1,2,3,4
attn_0_0_outputs,0,0.7152218,-0.17796506,-0.09927099,0.076868355,0.25832772
attn_0_0_outputs,1,-0.17039323,0.12335297,-0.3432508,-0.1713944,-0.021348514
attn_0_0_outputs,2,0.11234103,-0.2581996,0.49883616,0.09304871,0.19172637
attn_0_0_outputs,3,-0.30607992,-0.6350761,-0.488308,0.29049423,-0.23260407
attn_0_0_outputs,4,0.024606576,-0.38136595,-0.15985881,-0.012761082,0.7060516
attn_0_0_outputs,</s>,0.12463345,-0.19504549,-0.007351494,0.032621074,0.1731616
attn_0_0_outputs,<pad>,0.2649679,-0.02564809,-0.5508312,0.4339452,0.56064266
attn_0_0_outputs,<s>,-0.016744023,-0.38755018,-0.21243156,-0.059124924,0.058487702
attn_0_0_outputs,_,0.23563002,-0.32602748,-0.10163297,0.27254003,0.49937925
attn_0_0_outputs,_,0.43550584,-0.23338562,-0.3032033,0.32434854,0.7655964
attn_0_0_outputs,_,-0.023864398,-0.3596657,-0.4421959,-0.15881099,0.18857151
attn_0_0_outputs,_,0.5937034,-0.2135155,0.38760626,0.06394842,0.8432536
attn_0_0_outputs,_,0.18890077,-0.4018846,-0.35277903,0.2710053,0.6256482
attn_0_0_outputs,_,0.33126265,0.06317045,-0.05617994,0.4897417,0.70204014
attn_0_0_outputs,_,-0.2217652,-0.23660854,-0.09811315,0.15682022,0.44239977
attn_0_0_outputs,_,0.30887488,-0.6713297,0.12953117,0.1943384,0.29379702
attn_0_0_outputs,_,-0.27284315,-0.3740859,-0.24583445,-0.046893474,1.1727035
attn_0_0_outputs,_,0.5098405,0.045784507,-0.3030081,0.4492896,0.66277146
attn_0_0_outputs,_,0.4418043,-0.09516161,-0.28208038,0.20881647,0.90523833
attn_0_0_outputs,_,0.46454668,0.14962897,-0.42016855,0.33641395,0.6602031
attn_0_0_outputs,_,0.23523995,-0.49899825,-0.10279424,-0.001965563,0.48233178
attn_0_0_outputs,_,0.8720369,0.17423394,0.13420342,0.3964794,0.13601612
attn_0_0_outputs,_,0.51019806,-0.17136161,0.1415981,-0.03411152,0.9080189
attn_0_0_outputs,_,0.4550005,0.003162406,0.104765914,0.2315681,0.5954452
attn_0_0_outputs,_,0.42003253,-0.4472856,-0.3169551,-0.32827482,0.9641043
attn_0_0_outputs,_,0.7820335,-0.15307063,-0.38260573,-0.23700334,0.63959175
attn_0_0_outputs,_,0.48179677,-0.03467926,0.18525074,-0.11578303,0.76068574
attn_0_0_outputs,_,0.47160876,-0.09429936,0.06541318,0.13793084,0.25247806
attn_0_0_outputs,_,0.50593996,-0.025011024,-0.22421204,0.14204286,0.4096134
attn_0_0_outputs,_,-0.6918808,0.27972147,-0.14892636,-0.01969261,-0.5566154
attn_0_0_outputs,_,-0.09946287,-0.26790807,-0.06200934,0.21066596,-0.922209
attn_0_0_outputs,_,0.24571376,-0.7966345,-0.5113891,0.84650326,0.025342427
attn_0_0_outputs,_,-0.2539227,-0.052388143,0.079444915,-0.7538489,-0.15618971
attn_0_0_outputs,_,0.17398682,0.57395273,0.67507195,-0.3857721,0.02615078
attn_0_0_outputs,_,-0.5581537,0.23409344,0.26444757,-0.032880772,0.23127112
attn_0_0_outputs,_,0.44669098,0.16420305,-0.1048661,0.011946317,-0.047817085
attn_0_0_outputs,_,-0.37717184,-0.12933867,-0.044436567,0.07816939,-0.3643884
attn_0_0_outputs,_,-0.4451581,0.5929472,0.32619408,-0.28503606,0.3026285
attn_0_0_outputs,_,-0.33409354,0.008037994,-0.5217496,-0.6156182,0.065490775
attn_0_0_outputs,_,0.070589416,0.45994422,-0.26513496,-0.40161783,0.63941085
attn_0_1_outputs,0,1.0561687,0.543293,0.44485962,-1.0529027,0.73969287
attn_0_1_outputs,1,0.037191294,-0.010643316,-0.07178376,0.2927656,0.23292391
attn_0_1_outputs,2,-0.08324099,-0.1832957,0.30835366,0.22742467,0.2574283
attn_0_1_outputs,3,-0.30216298,-0.2916061,-0.36876434,1.5185074,-0.0035357228
attn_0_1_outputs,4,-0.04621913,-0.13602327,-0.113956474,-0.038737737,0.2426836
attn_0_1_outputs,</s>,0.4348491,0.50699055,0.13376963,0.12870312,0.3749193
