feature,value,0,1,2,3,4
attn_0_0_outputs,0,4.9706306,1.3243791,0.6253904,1.401322,2.9356918
attn_0_0_outputs,1,-0.91273034,-0.44842273,-0.06096613,-0.147459,0.9164773
attn_0_0_outputs,10,-6.710255,-1.9823481,1.4622035,1.2714225,1.5341194
attn_0_0_outputs,11,-0.9981448,-0.6187587,0.4683714,0.78013086,1.1137327
attn_0_0_outputs,12,-0.89752495,-0.84206706,-0.035075527,0.097101614,0.80283016
attn_0_0_outputs,13,-0.37485498,-0.066591226,0.8979908,0.93288964,0.43356493
attn_0_0_outputs,14,-0.72344685,-0.32864052,0.30087668,0.07496174,0.56236506
attn_0_0_outputs,15,-1.3606542,-0.5069434,-0.1505615,0.1025625,0.5902189
attn_0_0_outputs,16,0.650269,0.33628905,1.002284,0.7649321,0.3647825
attn_0_0_outputs,17,0.45871928,0.535429,1.0349265,0.26088616,-0.94848835
attn_0_0_outputs,18,-2.7863424,0.23340103,0.8324977,-0.22014505,-1.6260312
attn_0_0_outputs,19,-1.6078,-0.18890125,0.812635,-0.58453125,-2.3152192
attn_0_0_outputs,2,-0.9296792,-0.7267261,-0.069404766,0.3108877,0.9037607
attn_0_0_outputs,20,-1.1043222,0.080604576,0.83825356,0.26100248,-1.6733893
attn_0_0_outputs,21,-1.0023485,0.2753871,0.4887693,-0.08966244,-1.8142097
attn_0_0_outputs,22,-0.3532642,0.25975558,0.92206633,0.7015825,-0.7184993
attn_0_0_outputs,23,1.153698,0.26606286,0.56553227,-0.009365523,-1.6610622
attn_0_0_outputs,24,0.40715688,0.91605985,1.5001899,0.24170265,-2.3906395
attn_0_0_outputs,25,-0.77075887,0.3139952,0.9612121,-0.23890507,-2.8390522
attn_0_0_outputs,26,-0.5253777,1.0719008,1.0996699,-0.19991602,-3.6724217
attn_0_0_outputs,27,-0.7352783,0.8873494,1.0329057,0.17984211,-2.097144
attn_0_0_outputs,28,-1.2385024,0.6476773,1.2660934,-0.043840226,-2.3167305
attn_0_0_outputs,29,1.4598515,1.2154417,1.9977628,0.5546445,-1.8012633
attn_0_0_outputs,3,-0.38820934,-0.28724745,0.40743074,0.6452904,1.4735358
attn_0_0_outputs,30,0.46728715,1.3742434,1.6546799,0.7339596,-2.0856733
attn_0_0_outputs,31,-0.13499054,0.16218999,0.97861254,0.40088695,-2.7191184
attn_0_0_outputs,32,-0.1035052,0.6731679,1.2907703,0.26154137,-2.6069133
attn_0_0_outputs,33,0.6826881,1.4652987,1.0384492,0.018954003,-2.2098577
attn_0_0_outputs,34,-0.21123415,0.10085281,1.2688154,0.21398199,-2.8891094
attn_0_0_outputs,35,-0.8079958,1.3775935,1.1101221,-0.14911132,-3.836804
attn_0_0_outputs,36,-4.614672,0.6001909,1.5052162,0.29174975,-3.3967855
attn_0_0_outputs,37,1.2074416,1.9768063,2.2865286,0.67576236,-4.338246
